Wall,Point,X_m,Y_m
WallA,A1,-0.05,5.5
WallA,A2,0.9,5.5
WallA,A3,1.85,5.5
WallA,A4,2.8,5.5
WallA,A5,3.75,5.5
WallC,C1,8.24775036930779,5.04596105892716
WallC,C2,8.25548417001051,4.0959925392768
WallC,C3,8.26321797071322,3.14602401962645
WallC,C4,8.27095177141594,2.19605549997609
WallC,C5,8.27868557211866,1.24608698032573
WallC,C6,8.28641937282137,0.296118460675376
WallD,D1,7.84898157229787,-0.871939812702351
WallD,D2,6.89898355063405,-0.873878584175134
WallD,D3,5.94898552897023,-0.875817355647917
WallD,D4,4.99898750730641,-0.877756127120701
WallD,D5,4.04898948564258,-0.879694898593484
WallD,D6,3.09899146397876,-0.881633670066267
WallD,D7,2.14899344231494,-0.88357244153905
WallD,D8,1.19899542065112,-0.885511213011834
WallD,D9,0.248997398987293,-0.887449984484617
WallE,E1,0.248997398987293,-0.887449984484617
WallE,E2,-0.5,-0.44
WallE,E3,-0.5,0.51
WallE,E4,-0.5,1.46
WallE,E5,-0.5,2.41
WallE,E6,-0.5,3.36
WallE,E7,-0.5,4.31
